label,message
ham,"Hey how are you doing today?"
ham,"I'll call you later when I finish work"
spam,"WINNER!! You have been selected to receive a £1000 cash prize! Call now!"
ham,"Can you pick up some milk on your way home?"
spam,"Urgent! Your account has been compromised. Click here immediately"
ham,"Thanks for the birthday wishes! Had a great time"
spam,"Free entry in 2 a weekly comp to win FA Cup final tkts 21st May 2005"
ham,"Are we still meeting at 7pm tonight?"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message"
ham,"Sorry I missed your call. I was in a meeting"
spam,"URGENT! Your mobile number has WON a £2000 Bonus Caller Prize!"
ham,"Could you send me that document we discussed?"
spam,"You are a winner you have been specially selected to receive £1000 cash or a prize!"
ham,"The meeting has been rescheduled to tomorrow at 10am"
spam,"Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed"
